Destination,Hop,Delay (ms)
metu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),13.996
metu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),7.194
metu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),15.005
metu.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),15.339
metu.edu.tr,193.192.103.43 (193.192.103.43),19.812
metu.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),19.116
metu.edu.tr,144.122.1.18 (144.122.1.18),22.245
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),3.384
metu.edu.tr,V12.bbrouter (192.168.1.1),4.024
metu.edu.tr,172.17.1.250 (172.17.1.250),13.323
metu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),8.284
metu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),13.988
metu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),14.523
metu.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),26.118
metu.edu.tr,193.192.103.43 (193.192.103.43),21.754
metu.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),13.039
metu.edu.tr,144.122.1.18 (144.122.1.18),22.059
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),4.424
metu.edu.tr,V12.bbrouter (192.168.1.1),11.675
metu.edu.tr,172.17.1.250 (172.17.1.250),10.138
metu.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),16.1
metu.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),17.358
metu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),12.558
metu.edu.tr,101.100.146.159.srv.turk.net (159.146.100.101),22.536
metu.edu.tr,193.192.103.43 (193.192.103.43),15.964
metu.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),20.138
metu.edu.tr,144.122.1.18 (144.122.1.18),24.645
,,
metu.edu.tr,Abdullah-Laptop (172.30.144.1),5.021
metu.edu.tr,V12.bbrouter (192.168.1.1),10.312
metu.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),118.543
metu.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),123.515
metu.edu.tr,193.192.103.43 (193.192.103.43),21.31
metu.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),16.143
metu.edu.tr,144.122.1.18 (144.122.1.18),16.94
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),4.846
en.iyte.edu.tr,V12.bbrouter (192.168.1.1),14.257
en.iyte.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),116.104
en.iyte.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),119.007
en.iyte.edu.tr,101.100.146.159.srv.turk.net (159.146.100.101),22.51
en.iyte.edu.tr,193.192.103.43 (193.192.103.43),13.006
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),16.288
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),23.065
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),1.083
en.iyte.edu.tr,V12.bbrouter (192.168.1.1),9.436
en.iyte.edu.tr,172.17.1.250 (172.17.1.250),14.842
en.iyte.edu.tr,225.100.146.159.srv.turk.net (159.146.100.225),15.868
en.iyte.edu.tr,226.100.146.159.srv.turk.net (159.146.100.226),9.07
en.iyte.edu.tr,229.100.146.159.srv.turk.net (159.146.100.229),12.492
en.iyte.edu.tr,26.77.146.159.srv.turk.net (159.146.77.26),22.03
en.iyte.edu.tr,193.192.103.43 (193.192.103.43),16.514
en.iyte.edu.tr,70.96.154.212.static.turk.net (212.154.96.70),21.756
en.iyte.edu.tr,194.27.0.250 (194.27.0.250),28.59
,,
en.iyte.edu.tr,Abdullah-Laptop (172.30.144.1),0.475
en.iyte.edu.tr,V12.bbrouter (192.168.1.1),5.303
en.iyte.edu.tr,172.17.1.250 (172.17.1.250),8.284
