Destination,Hop,Delay (ms)
erbakan.edu.tr,160.75.126.25 (160.75.126.25),63.135
erbakan.edu.tr,193.255.0.141 (193.255.0.141),63.58
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),60.027
erbakan.edu.tr,217.217.70.95.reverse.turk.net (95.70.217.217),77.409
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),38.697
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),29.958
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),5.648
uzh.ch,161.9.63.253 (161.9.63.253),43.005
uzh.ch,160.75.126.25 (160.75.126.25),47.107
uzh.ch,193.255.0.141 (193.255.0.141),46.498
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),62.1
uzh.ch,* ae9.mx1.vie.at.geant.net (62.40.98.45),74.898
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),76.043
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),76.075
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),70.36
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),75.062
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),72.954
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),66.276
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),67.49
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),66.544
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),62.09
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),68.465
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),70.576
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),67.063
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),5.186
uzh.ch,161.9.63.253 (161.9.63.253),44.028
uzh.ch,160.75.126.25 (160.75.126.25),46.942
uzh.ch,193.255.0.141 (193.255.0.141),35.457
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),69.41
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),117.467
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),65.946
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),57.446
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),66.436
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),63.54
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),62.91
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),89.436
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),94.785
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),75.049
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),82.982
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),68.045
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),74.895
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),74.302
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),4.136
uzh.ch,161.9.63.253 (161.9.63.253),45.18
uzh.ch,160.75.126.25 (160.75.126.25),41.496
uzh.ch,193.255.0.141 (193.255.0.141),39.164
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),54.491
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),67.599
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),64.287
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),60.377
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),68.913
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),67.617
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),64.112
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),75.481
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),78.554
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),76.463
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),84.927
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),58.227
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),72.976
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),65.611
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),0.159
uzh.ch,161.9.63.253 (161.9.63.253),68.292
uzh.ch,160.75.126.25 (160.75.126.25),68.045
uzh.ch,193.255.0.141 (193.255.0.141),70.122
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),85.942
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),110.783
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),108.779
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),101.711
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),112.456
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),108.533
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),111.199
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),144.8
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),156.272
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),158.656
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),144.665
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),139.476
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),132.518
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),194.105
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),0.379
uzh.ch,161.9.63.253 (161.9.63.253),28.058
uzh.ch,160.75.126.25 (160.75.126.25),59.017
uzh.ch,193.255.0.141 (193.255.0.141),50.901
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),68.839
uzh.ch,* ae9.mx1.vie.at.geant.net (62.40.98.45),73.563
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),70.28
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),67.608
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),72.523
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),73.39
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),70.017
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),80.122
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),80.935
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),74.259
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),79.006
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),57.506
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),69.977
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),73.229
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),3.872
uzh.ch,161.9.63.253 (161.9.63.253),31.804
uzh.ch,160.75.126.25 (160.75.126.25),31.206
uzh.ch,193.255.0.141 (193.255.0.141),31.897
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),46.526
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),93.04
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),70.203
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),70.351
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),67.015
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),71.287
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),71.044
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),83.599
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),83.891
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),77.235
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),108.025
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),107.028
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),80.182
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),73.605
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),3.31
uzh.ch,161.9.63.253 (161.9.63.253),67.011
uzh.ch,160.75.126.25 (160.75.126.25),62.826
