Destination,Hop,Delay (ms),Group
univie.ac.at,dr-jekyll-mars.cc.univie.ac.at (131.130.251.130),499.291,4879
kyoto-u.ac.jp,ae-0.a02.frnkge13.de.bb.gin.ntt.net (129.250.3.23),776.138,4880
kyoto-u.ac.jp,ae-0.a02.frnkge13.de.bb.gin.ntt.net (129.250.3.23),494.063,4881
kyoto-u.ac.jp,ae-0.a03.frnkge13.de.bb.gin.ntt.net (129.250.3.30),832.906,4882
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.115),764.048,4883
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.113),925.746,4884
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.115),934.988,4885
kyoto-u.ac.jp,ae-1.a03.frnkge13.de.bb.gin.ntt.net (129.250.3.152),700.165,4886
kyoto-u.ac.jp,ffm-b17-link.ip.twelve99.net (62.115.132.113),478.765,4887
kyoto-u.ac.jp,06-ulus-sr14s-t2-2---06-ulus-sr12e-t3-1.statik.turktelekom.com.tr (81.212.222.209),1278.191,4888
kyoto-u.ac.jp,ae-7.r21.frnkge13.de.bb.gin.ntt.net (129.250.7.43),1402.139,4889
mit.edu,ae5.r02.border.mrs01.sdn.netarch.akamai.com (23.223.62.19),956.674,4890
mit.edu,akamai-ic-350392.ip.twelve99-cust.net (62.115.181.75),1089.223,4891
mit.edu,ae38.r01.border101.iad03.fab.netarch.akamai.com (23.203.152.143),1223.944,4892
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),834.384,4893
mit.edu,ae34.r03.border101.par02.fab.netarch.akamai.com (23.210.53.25),948.556,4894
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),763.08,4895
mit.edu,ae34.r03.border101.par02.fab.netarch.akamai.com (23.210.53.25),916.864,4896
mit.edu,ae2.mix-mil.netarch.akamai.com (23.210.57.133),324.355,4897
mit.edu,208.185.22.10.IPYX-074089-910-ZYO.zip.zayo.com (208.185.22.10),895.211,4898
mit.edu,ae36.r03.border101.mia02.fab.netarch.akamai.com (23.203.157.23),680.062,4899
itu.edu.tr,161.9.79.253 (161.9.79.253),11.942,4900
itu.edu.tr,161.9.79.253 (161.9.79.253),16.296,4901
itu.edu.tr,161.9.79.253 (161.9.79.253),17.724,4902
itu.edu.tr,161.9.79.253 (161.9.79.253),32.085,4903
itu.edu.tr,161.9.79.253 (161.9.79.253),244.219,4904
itu.edu.tr,161.9.79.253 (161.9.79.253),81.593,4905
itu.edu.tr,161.9.79.253 (161.9.79.253),23.455,4906
itu.edu.tr,161.9.79.253 (161.9.79.253),26.304,4907
itu.edu.tr,161.9.79.253 (161.9.79.253),5.421,4908
itu.edu.tr,161.9.79.253 (161.9.79.253),92.3,4909
metu.edu.tr,144.122.1.18 (144.122.1.18),127.914,4910
metu.edu.tr,144.122.1.18 (144.122.1.18),105.937,4911
metu.edu.tr,144.122.1.18 (144.122.1.18),118.508,4912
metu.edu.tr,144.122.1.18 (144.122.1.18),181.948,4913
metu.edu.tr,144.122.1.18 (144.122.1.18),149.281,4914
metu.edu.tr,144.122.1.18 (144.122.1.18),142.92,4915
metu.edu.tr,144.122.1.18 (144.122.1.18),80.968,4916
metu.edu.tr,144.122.1.18 (144.122.1.18),41.028,4917
metu.edu.tr,144.122.1.18 (144.122.1.18),177.112,4918
metu.edu.tr,144.122.1.18 (144.122.1.18),186.318,4919
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),31.595,4920
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),40.334,4921
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),290.903,4922
en.iyte.edu.tr,193.255.0.141 (193.255.0.141),29.621,4923
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),103.553,4924
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),155.018,4925
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),403.18,4926
en.iyte.edu.tr,* 194.27.0.18 (194.27.0.18),440.52,4927
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),528.54,4928
en.iyte.edu.tr,194.27.0.18 (194.27.0.18),663.62,4929
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),482.456,4930
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),563.044,4931
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),757.914,4932
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),229.349,4933
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),564.544,4934
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),1226.951,4935
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),315.795,4936
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),682.215,4937
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),556.801,4938
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),802.57,4939
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),776.04,4940
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),407.311,4941
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1017.976,4942
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1107.963,4943
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),967.83,4944
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),860.596,4945
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),836.519,4946
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),620.258,4947
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1157.985,4948
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),774.995,4949
google.com,142.251.227.251 (142.251.227.251),795.162,4950
google.com,142.251.227.251 (142.251.227.251),1173.456,4951
google.com,* * 142.251.227.253 (142.251.227.253),437.816,4952
google.com,* * 142.251.227.251 (142.251.227.251),298.991,4953
google.com,* * 108.170.250.161 (108.170.250.161),206.454,4954
google.com,* 142.251.227.251 (142.251.227.251),420.55,4955
google.com,142.251.227.251 (142.251.227.251),431.682,4956
google.com,142.251.227.251 (142.251.227.251),674.221,4957
google.com,142.251.227.251 (142.251.227.251),623.586,4958
google.com,* * 142.251.227.253 (142.251.227.253),556.516,4959
