Destination,Hop,Delay (ms)
erbakan.edu.tr,201.120.192.193.static.turk.net (193.192.120.201),965.77
erbakan.edu.tr,istn-gyrt-tnp-Gi0-3-280.turk.net (212.154.122.41),802.123
erbakan.edu.tr,5.3.146.159.srv.turk.net (159.146.3.5),808.417
erbakan.edu.tr,6.3.146.159.srv.turk.net (159.146.3.6),801.116
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),0.506
uzh.ch,161.9.79.253 (161.9.79.253),648.471
uzh.ch,160.75.126.25 (160.75.126.25),650.299
uzh.ch,193.255.0.141 (193.255.0.141),648.831
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),666.222
uzh.ch,* ae9.mx1.vie.at.geant.net (62.40.98.45),782.754
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),757.394
uzh.ch,* ae6.rt1.fra.de.geant.net (62.40.98.158),762.243
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),753.344
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),707.477
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),702.32
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),715.771
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),716.58
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),704.223
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),768.564
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),781.665
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),772.173
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),774.143
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),3.079
uzh.ch,161.9.79.253 (161.9.79.253),541.497
uzh.ch,160.75.126.25 (160.75.126.25),523.853
uzh.ch,193.255.0.141 (193.255.0.141),535.367
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),532.488
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),911.221
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),1017.94
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),1028.452
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),1026.891
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),579.342
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),586.919
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),580.062
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),588.263
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),581.765
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),582.343
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),404.696
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),398.916
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),411.03
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),15.177
uzh.ch,161.9.79.253 (161.9.79.253),1162.284
uzh.ch,160.75.126.25 (160.75.126.25),1161.761
uzh.ch,193.255.0.141 (193.255.0.141),1166.35
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),1149.866
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),1122.263
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),836.491
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),812.717
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),826.898
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),1083.3
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),1070.497
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),1082.305
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),1076.013
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),1069.325
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),1026.699
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),1018.305
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),1028.049
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1019.462
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),5.276
uzh.ch,161.9.79.253 (161.9.79.253),1156.619
uzh.ch,160.75.126.25 (160.75.126.25),1157.017
uzh.ch,193.255.0.141 (193.255.0.141),1164.519
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),1186.629
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),413.73
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),1135.433
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),1116.801
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),1134.488
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),1141.99
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),1147.95
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),1145.223
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),1148.064
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),1148.951
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),1113.353
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),1110.95
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),1109.482
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1106.601
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),9.855
uzh.ch,161.9.79.253 (161.9.79.253),944.625
uzh.ch,160.75.126.25 (160.75.126.25),942.39
uzh.ch,193.255.0.141 (193.255.0.141),957.028
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),980.626
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),1156.234
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),1118.067
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),1101.884
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),1117.37
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),686.558
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),691.875
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),700.63
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),703.244
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),695.922
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),994.088
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),987.38
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),965.927
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),966.3
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),5.829
uzh.ch,161.9.79.253 (161.9.79.253),1087.899
uzh.ch,160.75.126.25 (160.75.126.25),1084.7
uzh.ch,193.255.0.141 (193.255.0.141),1087.132
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),1089.692
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),1248.728
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),699.521
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),681.131
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),693.458
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),911.694
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),909.265
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),923.056
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),923.62
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),924.101
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),864.873
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),859.894
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),855.955
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),864.951
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),5.855
uzh.ch,161.9.79.253 (161.9.79.253),763.994
uzh.ch,160.75.126.25 (160.75.126.25),766.527
uzh.ch,193.255.0.141 (193.255.0.141),767.586
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),776.375
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),902.928
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),869.702
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),866.773
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),873.644
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),846.445
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),844.371
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),858.322
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),851.544
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),849.651
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),833.364
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),844.611
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),846.741
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),837.216
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),5.862
uzh.ch,161.9.79.253 (161.9.79.253),410.497
uzh.ch,160.75.126.25 (160.75.126.25),418.243
uzh.ch,193.255.0.141 (193.255.0.141),411.625
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),427.56
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),851.606
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),946.489
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),943.192
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),948.985
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),891.962
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),873.204
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),886.994
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),873.911
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),890.377
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),637.596
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),622.852
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),624.255
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),619.748
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),9.537
uzh.ch,161.9.79.253 (161.9.79.253),840.459
uzh.ch,160.75.126.25 (160.75.126.25),840.782
uzh.ch,193.255.0.141 (193.255.0.141),833.011
uzh.ch,ulakbim.mx1.bud.hu.geant.net (62.40.125.129),831.146
uzh.ch,ae9.mx1.vie.at.geant.net (62.40.98.45),1020.837
uzh.ch,ae5.rt1.pra.cz.geant.net (62.40.98.242),998.243
uzh.ch,ae6.rt1.fra.de.geant.net (62.40.98.158),981.358
uzh.ch,ae5.mx1.gen.ch.geant.net (62.40.98.183),1008.29
uzh.ch,swice1-100ge-0-3-0-1.switch.ch (62.40.124.22),1100.211
uzh.ch,swiCE4-B4.switch.ch (130.59.36.70),1096.96
uzh.ch,swiBF1-B2.switch.ch (130.59.36.113),1088.367
uzh.ch,swiBA3-100GE-0-0-0-0.switch.ch (130.59.39.73),1105.379
uzh.ch,swiBS1-100GE-0-0-0-0.switch.ch (130.59.37.34),1099.946
uzh.ch,swiPS1-100GE-0-0-1-3.switch.ch (130.59.37.190),1177.272
uzh.ch,swiPS2-100GE-0-0-1-4.switch.ch (130.59.37.58),1180.841
uzh.ch,swiZH3-100GE-0-0-0-2.switch.ch (130.59.36.170),1168.722
uzh.ch,uzhix1-eth5-1.uzh.ch (192.41.136.2),1154.811
,,
uzh.ch,Abdullah-Laptop (172.30.144.1),7.28
uzh.ch,161.9.79.253 (161.9.79.253),449.097
uzh.ch,160.75.126.25 (160.75.126.25),453.74
uzh.ch,193.255.0.141 (193.255.0.141),449.584
